Test;base;byte
aircrack-ng-1.3.0;2858656.0;2866256.0
botan-1.6.0;36184368.0;36165456.0
compress-pbzip2-1.6.1;942608.0;914024.0
crafty-1.4.5;1010104.0;1005400.0
fftw-1.3.0;15410040.0;15410040.0
mafft-1.6.2;13184736.0;13156064.0
ngspice-1.0.0;22250952.0;22250008.0
scimark2-1.3.2;27136.0;27136.0
sqlite-speedtest-1.0.1;1264520.0;1256360.0
tjbench-1.2.0;6834992.0;6936640.0
