Test;base;byte
aircrack-ng-1.3.0;99444.0;100917.0
botan-1.6.0;3056537.0;3125599.0
compress-pbzip2-1.6.1;11606.0;11705.0
crafty-1.4.5;10878.0;10805.0
fftw-1.3.0;2342408.0;2376876.0
mafft-1.6.2;111991.0;110243.0
ngspice-1.0.0;821172.0;829751.0
scimark2-1.3.2;1010.0;1032.0
sqlite-speedtest-1.0.1;10948.0;11105.0
tjbench-1.2.0;229814.0;234710.0
